query,value
行业:零售 业态:文体用品 品类:文创IP 指标:库存周转天数 指标来源:领先企业 值,\N
行业:零售 业态:文体用品 品类:文创IP 指标:月均上新SKU 指标来源:领先企业 值,\N
行业:零售 业态:文体用品 品类:文创IP 指标:月均坪效 指标来源:领先企业 值,\N
行业:零售 业态:文体用品 品类:文创IP 指标:进店转化率 指标来源: 领先企业 值,\N
行业:零售 业态:文体用品 品类:文创IP 指标:季度复购率 指标来源:品类均值 值,\N
行业:文体 业态:素质教育 品类:文艺培训 指标:联报系数（科） 指标来源:领先企业均值 值,2.00
行业:文体 业态:素质教育 品类:文艺培训 指标:续班率 指标来源:领先企业均值 值,\N
行业:文体 业态:素质教育 品类:文艺培训 指标:开课后退班率 指标来源:领先企业均值 值,\N
行业:文体 业态:素质教育 品类:文艺培训 指标:体验课/试听课转化率 指标来源:领先企业均值 值,\N
行业:文体 业态:素质教育 品类:文艺培训 指标:班课的满班率 指标来源:领先企业均值 值,\N
行业:文体 业态:素质教育 品类:文艺培训 指标:师均带课量（小时） 指标来源:领先企业均值 值,650.00
行业:文体 业态:素质教育 品类:文艺培训 指标:教室使用率 指标来源:领先企业均值 值,\N
行业:文体 业态:素质教育 品类:文艺培训 指标:年度教师流失率 指标来源:品类均值 值,\N
行业:文体 业态:素质教育 品类:文艺培训 指标:教师底薪（元） 指标来源:领先企业均值 值,10000.00
行业:零售 业态:无人零售 品类:无人便利店 指标:供应链：标品存货周转天数 (天) 指标来源:领先企业 值,50.00
行业:零售 业态:无人零售 品类:无人便利店 指标:供应链：标品损耗率 (%) 指标来源:领先企业 值,\N
行业:零售 业态:无人零售 品类:无人便利店 指标:数字增值服务 (%) 指标来源:nan 值,\N
行业:零售 业态:无人零售 品类:无人便利店 指标:运营：机器故障率 (%) 指标来源:nan 值,\N
行业:零售 业态:无人零售 品类:无人便利店 指标:运营：扣款失败率 (%) 指标来源:nan 值,\N
行业:零售 业态:无人零售 品类:无人便利店 指标:运营：单个机器成本 (元) 指标来源:友宝的自动出货型售货机成本价 值,11300.00
行业:零售 业态:无人零售 品类:无人便利店 指标:运营：缺货率 (%) 指标来源:1、补货前售罄的SKU数量占补货后SKU总数的百分比 2、需小于基准值 值,\N
行业:零售 业态:无人零售 品类:无人便利店 指标:运营：线上销售占比 (%) 指标来源:全渠道拓展与融合，线上销售占比10%以上 值,\N
行业:零售 业态:无人零售 品类:无人便利店 指标:运营：平均每单配送时间 (分钟) 指标来源:运力稳定，平均每单配送时间<45分钟（从客户下单到骑手送达） 值,45.00
行业:餐饮 业态:异国菜 品类:日本料理 指标:口碑分 指标来源:领先企业均值 值,82.00
行业:餐饮 业态:异国菜 品类:日本料理 指标:翻台率 指标来源:品类均值 值,2.00
"行业:餐饮 业态:异国菜 品类:日本料理 指标:
储值卡和消费券收入占比 指标来源:领先企业均值 值",\N
行业:零售 业态:生活日用 品类:日杂用品 指标:供应链：库存周转天数 指标来源:①行业平均水平：187天综合服饰行业均值，来自财报说②领先企业水平：海澜之家283天，优衣库84天③已投门店水平：Patavinity140天，Delicates87天 值,90.00
行业:零售 业态:生活日用 品类:日杂用品 指标:运营：售罄率 指标来源:一个季度内，服装的平均售罄率大于75% 值,\N
行业:零售 业态:生活日用 品类:日杂用品 指标:运营：复购率 指标来源:由于乡镇消费人群较为固定，较高的复购率说明该门店客户粘度较高（参考：海澜之家15%） 值,\N
行业:零售 业态:生活日用 品类:日杂用品 指标:产品：加价率 指标来源:nan 值,\N
行业:零售 业态:生活日用 品类:日杂用品 指标:供应链：供应交付天数 指标来源:成熟的供应链管理系统，供应交付速度快 值,45.00
行业:零售 业态:生活日用 品类:日杂用品 指标:运营：连带率 指标来源:nan 值,2.00
行业:零售 业态:生活日用 品类:日杂用品 指标:产品：自主研发比例 指标来源:具备差异化及创新能力，关注自主设计研发与买手采购的产品比例 值,\N
"行业:文体 业态:素质教育 品类:早教托育 指标:产品：体验课/试听课转化率 指标来源:领先企业
教学教研能力：（1）课程设置：针对不同年龄段开发阶梯式课程体系，内容丰富多样，不拘泥于固定流程。 
（2）师资水平：严格招聘教师并系统性培训。 值",\N
"行业:文体 业态:素质教育 品类:早教托育 指标:产品：续报率 指标来源:领先企业
早教行业卖的课包基本都是1-2年，客群年龄在0-6岁 值",\N
"行业:文体 业态:素质教育 品类:早教托育 指标:产品：开课后退班率 指标来源:领先企业
参考头部品牌金宝贝 值",\N
行业:文体 业态:素质教育 品类:早教托育 指标:运营：师均带课量 指标来源:品类均值 值,725.00
行业:文体 业态:素质教育 品类:早教托育 指标:运营：教室使用率 指标来源:品类均值 值,\N
行业:文体 业态:素质教育 品类:早教托育 指标:选址 指标来源:创业邦调研显示家长选择培训机构的考虑因素中距离排第一，美团显示接近一半的教育消费者会选择离家3公里范围内的机构。 值,\N
行业:文体 业态:聚会游戏 品类:棋牌室 指标:会员数增长率 指标来源:nan 值,\N
行业:文体 业态:聚会游戏 品类:棋牌室 指标:会员年均消费次数 指标来源:nan 值,4.00
行业:文体 业态:聚会游戏 品类:棋牌室 指标:年度复购率 指标来源:nan 值,\N
行业:文体 业态:聚会游戏 品类:棋牌室 指标:平均新客次月留存率 指标来源:nan 值,\N
行业:文体 业态:聚会游戏 品类:棋牌室 指标:充值卡消耗率 指标来源:nan 值,\N
行业:文体 业态:聚会游戏 品类:棋牌室 指标:口碑分 指标来源:nan 值,82.00
行业:文体 业态:聚会游戏 品类:棋牌室 指标:平均新客转化率 指标来源:nan 值,\N
行业:零售 业态:生活日用 品类:母婴用品 指标:门店数量 指标来源:领先企业均值 值,100.00
行业:零售 业态:生活日用 品类:母婴用品 指标:存货周转天数 指标来源:领先企业均值 值,70.00
行业:零售 业态:生活日用 品类:母婴用品 指标:产品SKU 指标来源:领先企业均值 值,1000.00
行业:零售 业态:生活日用 品类:母婴用品 指标:线上营收占比 指标来源:领先企业均值 值,\N
行业:零售 业态:生活日用 品类:母婴用品 指标:直采占比 指标来源:领先企业均值 值,\N
行业:零售 业态:生活日用 品类:母婴用品 指标:会员数(万人） 指标来源:领先企业均值 值,2590.00
行业:服务 业态:住宿服务 品类:民宿 指标:Occ 指标来源:领先企业均值 值,\N
行业:服务 业态:住宿服务 品类:民宿 指标:ADR（元） 指标来源:领先企业均值 值,733.00
行业:服务 业态:住宿服务 品类:民宿 指标:RevPAR（元） 指标来源:领先企业均值 值,195.00
行业:服务 业态:住宿服务 品类:民宿 指标:直客间夜量占比 指标来源:品类均值 值,\N
行业:服务 业态:住宿服务 品类:民宿 指标:1间夜订单量占比 指标来源:品类均值 值,\N
行业:服务 业态:住宿服务 品类:民宿 指标:当日预订订单量占比 指标来源:品类均值 值,\N
行业:服务 业态:住宿服务 品类:民宿 指标:订单量取消率 指标来源:品类均值 值,\N
行业:服务 业态:住宿服务 品类:民宿 指标:年度复购率 指标来源:品类均值 值,\N
行业:零售 业态:食品零售 品类:水果店 指标:水果收入占比 指标来源:领先企业均值 值,\N
行业:零售 业态:食品零售 品类:水果店 指标:SKU 指标来源:领先企业均值 值,300.00
行业:零售 业态:食品零售 品类:水果店 指标:水果存货周转天数（天） 指标来源:nan 值,4.00
行业:零售 业态:食品零售 品类:水果店 指标:水果损耗率 指标来源:品类均值 值,\N
行业:零售 业态:食品零售 品类:水果店 指标:直采占比 指标来源:nan 值,\N
行业:零售 业态:食品零售 品类:水果店 指标:线上销售占比 指标来源:nan 值,\N
行业:零售 业态:食品零售 品类:水果店 指标:会员消费占比 指标来源:领先企业均值 值,\N
行业:零售 业态:食品零售 品类:水果店 指标:水果行业年限（年） 指标来源:nan 值,5.00
行业:零售 业态:食品零售 品类:水果店 指标:单个督导覆盖门店数（家） 指标来源:领先企业均值 值,10.00
行业:零售 业态:食品零售 品类:水果店 指标:自有冷库仓储数量（个） 指标来源:领先企业均值 值,3.00
行业:餐饮 业态:快餐小吃 品类:汉堡类 指标:运营：翻座率 指标来源:领先企业均值 值,3.00
行业:餐饮 业态:快餐小吃 品类:汉堡类 指标:运营：外卖占比 指标来源:领先企业均值 值,\N
行业:餐饮 业态:快餐小吃 品类:汉堡类 指标:产品：SKU 指标来源:领先企业均值 值,40.00
行业:餐饮 业态:地方菜 品类:江浙菜 指标:包厢收入占比 指标来源:品类均值 值,\N
行业:餐饮 业态:地方菜 品类:江浙菜 指标:月均坪效 指标来源:品类均值 值,1500.00
行业:餐饮 业态:特色正餐 品类:江海湖鲜 指标:包厢收入占比 指标来源:领先企业均值 值,\N
行业:餐饮 业态:特色正餐 品类:江海湖鲜 指标:月均坪效（元） 指标来源:领先企业均值 值,2400.00
行业:餐饮 业态:特色正餐 品类:江海湖鲜 指标:翻台率 指标来源:领先企业均值 值,1.50
行业:服务 业态:出行服务 品类:汽车充电 指标:充电桩日均使用小时数（时） 指标来源:领先企业均值 值,8.00
行业:服务 业态:出行服务 品类:汽车充电 指标:每网点平均充电桩数量（桩） 指标来源:领先企业均值 值,35.00
行业:服务 业态:汽车后市场 品类:汽车维保 指标:门店工位数 指标来源:①行业平均数据：4.2个， ②领先企业数据：途虎6.5个 值,6.50
行业:服务 业态:汽车后市场 品类:汽车维保 指标:工位技师比 指标来源:①领先企业数据：途虎1.2:1 值,\N
行业:服务 业态:汽车后市场 品类:汽车维保 指标:位周转率 指标来源:①行业平均数据1.0， ②领先企业数据：途虎2.4 值,2.40
行业:服务 业态:汽车后市场 品类:汽车维保 指标:季度会员复购率（%） 指标来源:①领先企业数据：途虎62.9% 值,\N
行业:服务 业态:汽车后市场 品类:汽车美容 指标:门店平均工位数（位） 指标来源:领先企业均值 值,6.50
行业:服务 业态:汽车后市场 品类:汽车美容 指标:工位利用率 指标来源:领先企业均值 值,\N
行业:服务 业态:汽车后市场 品类:汽车美容 指标:工位周转率 指标来源:领先企业均值 值,8.00
行业:服务 业态:汽车后市场 品类:汽车美容 指标:日均进店台次（台） 指标来源:领先企业均值 值,32.00
行业:服务 业态:汽车后市场 品类:汽车美容 指标:汽车保有量（辆） 指标来源:领先企业均值 值,2000.00
行业:服务 业态:汽车后市场 品类:汽车美容 指标:会员平均月消费次数（次） 指标来源:领先企业均值 值,1.50
行业:文体 业态:玩乐体验 品类:游艺玩乐 指标:门店数量（家） 指标来源:领先企业均值 值,10.00
行业:文体 业态:玩乐体验 品类:游艺玩乐 指标:月均坪效（元） 指标来源:品类均值 值,1300.00
行业:文体 业态:玩乐体验 品类:游艺玩乐 指标:季度复购率 指标来源:品类均值 值,\N
行业:文体 业态:玩乐体验 品类:游艺玩乐 指标:设备数（台） 指标来源:品类均值 值,30.00
行业:文体 业态:玩乐体验 品类:游艺玩乐 指标:单台设备日均使用时长（时） 指标来源:品类均值 值,0.25
行业:文体 业态:玩乐体验 品类:游艺玩乐 指标:单台设备月均营业额（元） 指标来源:品类均值 值,230.00
行业:餐饮 业态:地方菜 品类:湘菜 指标:翻台率 指标来源:领先企业均值 值,3.30
行业:餐饮 业态:地方菜 品类:湘菜 指标:月均坪效（元） 指标来源:领先企业均值 值,2200.00
行业:餐饮 业态:地方菜 品类:湘菜 指标:月均人效（元） 指标来源:领先企业均值 值,16000.00
行业:餐饮 业态:地方菜 品类:湘菜 指标:管理：厨师离职率 指标来源:nan 值,\N
行业:餐饮 业态:特色正餐 品类:烤串 指标:运营：翻台率 指标来源:领先企业均值 值,3.00
行业:餐饮 业态:特色正餐 品类:烤串 指标:运营：酒水占比 指标来源:领先企业均值 值,\N
行业:餐饮 业态:特色正餐 品类:烤串 指标:供应链：中央厨房覆盖半径（公里） 指标来源:领先企业均值 值,200.00
行业:餐饮 业态:特色正餐 品类:烤串 指标:供应链：直供占比 指标来源:领先企业均值 值,\N
行业:餐饮 业态:特色正餐 品类:烤串 指标:SKU 指标来源:领先企业均值 值,45.00
行业:餐饮 业态:特色正餐 品类:烤肉 指标:月均坪效（元） 指标来源:领先企业均值 值,1500.00
行业:餐饮 业态:特色正餐 品类:烤肉 指标:SKU 指标来源:nan 值,45.00
行业:餐饮 业态:特色正餐 品类:烤肉 指标:口碑分 指标来源:品类均值 值,82.00
行业:餐饮 业态:特色正餐 品类:烤鱼 指标:月均坪效（元） 指标来源:领先企业均值 值,2600.00
行业:餐饮 业态:特色正餐 品类:烤鱼 指标:翻台率 指标来源:领先企业均值 值,3.00
行业:餐饮 业态:特色正餐 品类:烤鱼 指标:口碑分 指标来源:领先企业均值 值,88.00
行业:餐饮 业态:特色正餐 品类:烤鱼 指标:产品更新频率（月） 指标来源:领先企业均值 值,3.00
行业:餐饮 业态:特色正餐 品类:烤鱼 指标:直采比例 指标来源:领先企业均值 值,\N
行业:餐饮 业态:快餐小吃 品类:烫捞类 指标:运营：翻台率 指标来源:领先企业均值 值,3.00
行业:餐饮 业态:快餐小吃 品类:烫捞类 指标:供应链：配送周期（天） 指标来源:领先企业均值 值,2.00
行业:餐饮 业态:快餐小吃 品类:烫捞类 指标:产品：SKU 指标来源:领先企业均值 值,40.00
行业:服务 业态:生活服务 品类:物流配送 指标:规模：骑手日均订单量 指标来源:领先企业 值,20.00
"行业:服务 业态:生活服务 品类:物流配送 指标:运力：平均每单配送时间	（分钟）
 指标来源:领先企业 值",45.00
行业:服务 业态:生活服务 品类:物流配送 指标:产品：每位用户平均每年交易笔数 指标来源:领先企业 值,35.80
行业:服务 业态:生活服务 品类:物流配送 指标:先发优势 指标来源:形成规模化和建立品牌忠诚度，形成行业壁垒 值,\N
行业:服务 业态:生活服务 品类:物流配送 指标:社群运营 指标来源:开展社群营销，构建私域流量，如小红书、微博或自研社交平台 值,\N
行业:餐饮 业态:快餐小吃 品类:特色小吃 指标:翻台率 指标来源:品类均值 值,2.50
行业:餐饮 业态:快餐小吃 品类:特色小吃 指标:月均坪效（元） 指标来源:品类均值 值,2000.00
行业:餐饮 业态:快餐小吃 品类:特色小吃 指标:月均人效（元） 指标来源:品类均值 值,18000.00
行业:餐饮 业态:快餐小吃 品类:特色小吃 指标:外卖占比 指标来源:领先企业均值 值,\N
行业:餐饮 业态:快餐小吃 品类:特色小吃 指标:直采比例 指标来源:品类均值 值,\N
行业:餐饮 业态:快餐小吃 品类:特色小吃 指标:中央厨房覆盖门店数量 指标来源:nan 值,\N
行业:餐饮 业态:火锅 品类:特色火锅 指标:翻台率 指标来源:领先企业均值 值,2.00
行业:餐饮 业态:火锅 品类:特色火锅 指标:SKU 指标来源:领先企业均值 值,100.00
行业:餐饮 业态:休闲饮品 品类:现制茶饮 指标:产品：月上新SKU数 指标来源:领先企业均值 值,4.00
行业:餐饮 业态:休闲饮品 品类:现制茶饮 指标:产品：SKU数量 指标来源:领先企业均值 值,20.00
行业:餐饮 业态:休闲饮品 品类:现制茶饮 指标:供应链 指标来源:领先企业均值 值,1.00
行业:餐饮 业态:休闲饮品 品类:现制茶饮 指标:外卖占比 指标来源:领先企业均值 值,\N
行业:餐饮 业态:休闲饮品 品类:现制茶饮 指标:供应交付天数（天） 指标来源:nan 值,\N
行业:餐饮 业态:休闲饮品 品类:现磨咖啡 指标:运营：季度上新产品数（款） 指标来源:领先企业均值 值,6.00
行业:餐饮 业态:休闲饮品 品类:现磨咖啡 指标:运营：日均销售订单（单） 指标来源:领先企业均值 值,243.00
行业:餐饮 业态:休闲饮品 品类:现磨咖啡 指标:运营：平均出单时间（min） 指标来源:领先企业均值 值,5.00
行业:餐饮 业态:休闲饮品 品类:现磨咖啡 指标:运营：月会员复购次数 指标来源:领先企业均值 值,6.00
行业:文体 业态:体育场所 品类:球类运动 指标:场地日均使用时长（小时） 指标来源:领先企业均值 值,6.00
行业:文体 业态:体育场所 品类:球类运动 指标:平均场地数 指标来源:品类均值 值,6.00
行业:文体 业态:体育场所 品类:球类运动 指标:会员月复购次数 指标来源:品类均值 值,1.50
行业:文体 业态:体育场所 品类:球类运动 指标:消费群体占比 指标来源:nan 值,\N
行业:文体 业态:体育场所 品类:球类运动 指标:消费时段分布 指标来源:nan 值,\N
"行业:文体 业态:健身瑜伽 品类:瑜伽馆 指标:运营：耗课率（%） 指标来源:品类均值
数据由节点企业卡莫瑜伽提供，耗课率越高，便于形成用户习惯及提高用户粘性，续费率越高 值",\N
"行业:文体 业态:健身瑜伽 品类:瑜伽馆 指标:运营：续费率（%） 指标来源:品类均值
数据由节点企业卡莫瑜伽提供 值",\N
"行业:文体 业态:健身瑜伽 品类:瑜伽馆 指标:运营：开课后退费率（%） 指标来源:品类均值
数据由节点企业卡莫瑜伽提供 值",\N
"行业:文体 业态:健身瑜伽 品类:瑜伽馆 指标:运营：体验课/试听课转化率（%） 指标来源:品类均值
数据由节点企业卡莫瑜伽提供 值",\N
"行业:文体 业态:健身瑜伽 品类:瑜伽馆 指标:运营：老顾客转介绍率 （% ） 指标来源:品类均值
数据由节点企业卡莫瑜伽提供 值",\N
"行业:文体 业态:健身瑜伽 品类:瑜伽馆 指标:运营：会员月均上课频次（次） 指标来源:品类均值
数据由节点企业卡莫瑜伽提供 值",7.00
"行业:文体 业态:健身瑜伽 品类:瑜伽馆 指标:运营：月均会员数量（人） 指标来源:品类均值
数据由节点企业卡莫瑜伽提供 值",300.00
"行业:文体 业态:健身瑜伽 品类:瑜伽馆 指标:运营：驻馆教师年均带课小时数 指标来源:品类均值
数据由节点企业卡莫瑜伽提供，一般而言瑜伽馆一堂课程时长在45-60分钟，相比于教育培训行业课时更短。 值",200.00
"行业:文体 业态:健身瑜伽 品类:瑜伽馆 指标:运营：教师流失率（%） 指标来源:品类均值
数据由节点企业卡莫瑜伽提供 值",\N
"行业:文体 业态:健身瑜伽 品类:瑜伽馆 指标:营销：到店转化率（%） 指标来源:品类均值
数据由节点企业卡莫瑜伽提供 值",\N
行业:文体 业态:健身瑜伽 品类:瑜伽馆 指标:选址 指标来源:高端品牌以商圈为主，有较大人流量，靠近高收入人群；中低端品牌以社区店为主，租金低廉。 值,\N
行业:餐饮 业态:甜品烘焙 品类:甜品 指标:SKU 指标来源:品类均值 值,40.00
行业:餐饮 业态:甜品烘焙 品类:甜品 指标:季度复购率 指标来源:品类均值 值,\N
行业:餐饮 业态:甜品烘焙 品类:甜品 指标:会员消费金额占比 指标来源:领先企业均值 值,\N
行业:服务 业态:美容美体 品类:生活美容 指标:会员转化率 指标来源:品类均值 值,\N
行业:服务 业态:美容美体 品类:生活美容 指标:疗程卡的占比 指标来源:领先企业均值 值,\N
行业:服务 业态:美容美体 品类:生活美容 指标:活跃会员年均消费次数（次） 指标来源:领先企业均值 值,12.50
行业:服务 业态:美容美体 品类:生活美容 指标:退款及赔偿金额占比 指标来源:领先企业均值 值,\N
行业:服务 业态:美容美体 品类:生活美容 指标:老顾客转介绍率 指标来源:领先企业均值 值,\N
行业:文体 业态:文化娱乐 品类:电影院 指标:场均票房收入（元） 指标来源:领先企业均值 值,299.00
行业:文体 业态:文化娱乐 品类:电影院 指标:日均上座率 指标来源:品类均值 值,\N
行业:文体 业态:文化娱乐 品类:电影院 指标:每厅日均场次（场） 指标来源:领先企业均值 值,3.60
行业:文体 业态:文化娱乐 品类:电影院 指标:平均票价（元） 指标来源:领先企业均值 值,42.50
行业:文体 业态:文化娱乐 品类:电影院 指标:食品商品服务收入占比 指标来源:领先企业均值 值,\N
行业:文体 业态:文化娱乐 品类:电影院 指标:广告收入占比 指标来源:领先企业均值 值,\N
行业:文体 业态:文化娱乐 品类:电影院 指标:IMAX银幕数量占比 指标来源:领先企业均值 值,\N
行业:文体 业态:文化娱乐 品类:电影院 指标:年平均单银幕产出（元） 指标来源:领先企业均值 值,\N
行业:文体 业态:玩乐体验 品类:电玩城 指标:门店数量（家） 指标来源:领先企业均值 值,10.00
行业:文体 业态:玩乐体验 品类:电玩城 指标:月均坪效（元） 指标来源:品类均值 值,1300.00
行业:文体 业态:玩乐体验 品类:电玩城 指标:季度复购率 指标来源:品类均值 值,\N
行业:文体 业态:玩乐体验 品类:电玩城 指标:设备数（台） 指标来源:品类均值 值,30.00
行业:文体 业态:玩乐体验 品类:电玩城 指标:单台设备日均使用时长（时） 指标来源:品类均值 值,0.25
行业:文体 业态:玩乐体验 品类:电玩城 指标:单台设备月均营业额（元） 指标来源:品类均值 值,230.00
行业:服务 业态:住宿服务 品类:电竞酒店 指标:OCC 指标来源:品类均值  值,\N
行业:服务 业态:住宿服务 品类:电竞酒店 指标:RePAR(元） 指标来源:领先企业均值 值,200.00
行业:服务 业态:住宿服务 品类:电竞酒店 指标:租售比 指标来源:品类均值 值,\N
行业:服务 业态:住宿服务 品类:电竞酒店 指标:房间配备员工平均数 指标来源:品类均值 值,0.25
行业:服务 业态:住宿服务 品类:电竞酒店 指标:年度复购率  指标来源:领先企业均值 值,\N
行业:服务 业态:住宿服务 品类:电竞酒店 指标:会员人数 指标来源:领先企业均值 值,225000.00
行业:零售 业态:服装鞋包 品类:男装 指标:平均存货周转天数（天） 指标来源:品类均值 值,90.00
行业:零售 业态:服装鞋包 品类:男装 指标:售罄率 指标来源:品类均值 值,\N
行业:零售 业态:服装鞋包 品类:男装 指标:线上收入占比 指标来源:领先企业均值 值,\N
行业:零售 业态:服装鞋包 品类:男装 指标:产品交付所用天数（天） 指标来源:品类均值 值,45.00
行业:服务 业态:医疗健康 品类:眼科门诊 指标:高毛利治疗占比 指标来源:nan 值,\N
行业:服务 业态:医疗健康 品类:眼科门诊 指标:毛利率 指标来源:nan 值,\N
行业:服务 业态:医疗健康 品类:眼科门诊 指标:新客渠道占比 指标来源:nan 值,\N
行业:服务 业态:医疗健康 品类:眼科门诊 指标:存货周转率 指标来源:nan 值,13.50
行业:零售 业态:时尚配饰 品类:眼镜 指标:供应链：存货周转次数 指标来源:领先企业 值,6.70
行业:零售 业态:时尚配饰 品类:眼镜 指标:产品：SKU 指标来源:nan 值,\N
行业:零售 业态:时尚配饰 品类:眼镜 指标:品牌：口碑分 指标来源:领先企业 值,90.00
行业:零售 业态:时尚配饰 品类:眼镜 指标:运营：客户转化率 指标来源:领先企业 值,\N
行业:零售 业态:时尚配饰 品类:眼镜 指标:运营：获客渠道 指标来源:nan 值,\N
行业:零售 业态:时尚配饰 品类:眼镜 指标:团队：验光师年限 指标来源:领先企业 值,5.00
行业:零售 业态:服装鞋包 品类:童装童鞋 指标:存货周转天数（天） 指标来源:领先企业均值 值,138.00
行业:零售 业态:服装鞋包 品类:童装童鞋 指标:季度售罄率 指标来源:品类均值 值,\N
行业:零售 业态:服装鞋包 品类:童装童鞋 指标:线上占比 指标来源:领先企业均值 值,\N
行业:零售 业态:服装鞋包 品类:童装童鞋 指标:自主研发比例 指标来源:领先企业均值 值,\N
行业:零售 业态:服装鞋包 品类:童装童鞋 指标:供应交付天数（天） 指标来源:领先企业均值 值,45.00
行业:零售 业态:服装鞋包 品类:童装童鞋 指标:加价倍率 指标来源:领先企业均值 值,8.00
行业:零售 业态:服装鞋包 品类:童装童鞋 指标:季度上新数（款） 指标来源:nan 值,\N
行业:餐饮 业态:快餐小吃 品类:米饭简餐 指标:产品：SKU 指标来源:领先企业 值,30.00
行业:餐饮 业态:快餐小吃 品类:米饭简餐 指标:运营：月均坪效（元） 指标来源:领先企业均值 值,2500.00
行业:餐饮 业态:快餐小吃 品类:米饭简餐 指标:运营：外卖占比 指标来源:nan 值,\N
行业:餐饮 业态:快餐小吃 品类:粉面类 指标:运营：线上渠道营销 指标来源:领先企业均值 值,1.00
行业:餐饮 业态:快餐小吃 品类:粉面类 指标:运营：翻台率 指标来源:领先企业均值 值,5.30
行业:餐饮 业态:快餐小吃 品类:粉面类 指标:产品：外卖占比 指标来源:领先企业均值 值,\N
行业:餐饮 业态:快餐小吃 品类:粉面类 指标:供应链：中央厨房覆盖门店 指标来源:nan 值,40.00
行业:餐饮 业态:快餐小吃 品类:粉面类 指标:供应链：中央厨房覆盖半径（公里） 指标来源:nan 值,200.00
行业:餐饮 业态:快餐小吃 品类:粉面类 指标:产品：零售收入占比 指标来源:领先企业均值 值,\N
行业:餐饮 业态:火锅 品类:粤式火锅 指标:翻台率 指标来源:领先企业均值 值,2.40
行业:餐饮 业态:火锅 品类:粤式火锅 指标:月均人效 指标来源:领先企业均值 值,22000.00
行业:餐饮 业态:火锅 品类:粤式火锅 指标:季度会员复购率 指标来源:领先企业均值 值,\N
行业:餐饮 业态:地方菜 品类:粤菜 指标:运营：包厢收入占比 指标来源:领先企业均值 值,\N
行业:餐饮 业态:地方菜 品类:粤菜 指标:运营：口碑分 指标来源:领先企业均值 值,89.00
行业:餐饮 业态:地方菜 品类:粤菜 指标:翻台率 指标来源:领先企业均值 值,3.00
行业:餐饮 业态:地方菜 品类:粤菜 指标:供应链：直采占比 指标来源:领先企业均值 值,\N
行业:零售 业态:服装鞋包 品类:综合服饰 指标:供应链：库存周转天数  指标来源:①行业平均水平：187天综合服饰行业均值，来自财报说②领先企业水平：海澜之家283天，优衣库84天③已投门店水平：Patavinity140天，Delicates87天 值,90.00
行业:零售 业态:服装鞋包 品类:综合服饰 指标:运营：售罄率 指标来源:一个季度内，服装的平均售罄率大于75% 值,\N
行业:零售 业态:服装鞋包 品类:综合服饰 指标:运营：复购率 指标来源:由于乡镇消费人群较为固定，较高的复购率说明该门店客户粘度较高（参考：海澜之家15%） 值,\N
行业:零售 业态:服装鞋包 品类:综合服饰 指标:产品：加价率 指标来源:nan 值,\N
行业:零售 业态:服装鞋包 品类:综合服饰 指标:供应链：供应交付天数 指标来源:成熟的供应链管理系统，供应交付速度快 值,45.00
行业:零售 业态:服装鞋包 品类:综合服饰 指标:运营：连带率 指标来源:nan 值,2.00
行业:零售 业态:服装鞋包 品类:综合服饰 指标:产品：自主研发比例 指标来源:具备差异化及创新能力，关注自主设计研发与买手采购的产品比例 值,\N
行业:零售 业态:食品零售 品类:综合生鲜 指标:蔬菜损耗率 指标来源:nan 值,\N
行业:零售 业态:食品零售 品类:综合生鲜 指标:标品损耗率 指标来源:nan 值,\N
行业:零售 业态:食品零售 品类:综合生鲜 指标:鲜肉损耗率 指标来源:nan 值,\N
行业:零售 业态:食品零售 品类:综合生鲜 指标:线上销售占比 指标来源:nan 值,\N
行业:零售 业态:食品零售 品类:综合生鲜 指标:毛利率 指标来源:nan 值,\N
行业:零售 业态:食品零售 品类:综合生鲜 指标:直采比例 指标来源:nan 值,\N
行业:文体 业态:玩乐体验 品类:网吧 指标:上网费占比 指标来源:领先企业均值 值,\N
行业:文体 业态:玩乐体验 品类:网吧 指标:单台电脑日均上机时间（小时） 指标来源:领先企业均值 值,8.80
行业:文体 业态:玩乐体验 品类:网吧 指标:充值核销率 指标来源:nan 值,\N
行业:服务 业态:美容美体 品类:美发 指标:收入结构 指标来源:品类均值 值,\N
行业:服务 业态:美容美体 品类:美发 指标:储值卡门槛 指标来源:品类均值 值,\N
行业:服务 业态:美容美体 品类:美发 指标:会员转化率 指标来源:品类均值 值,\N
行业:服务 业态:美容美体 品类:美发 指标:会员年均消费次数 指标来源:品类均值 值,10.00
行业:服务 业态:美容美体 品类:美发 指标:客单价 指标来源:品类均值 值,\N
行业:服务 业态:美容美体 品类:美发 指标:烫染收入占比 指标来源:品类均值 值,\N
行业:服务 业态:美容美体 品类:美甲美睫 指标:单店毛利率 指标来源:品类均值 值,\N
行业:服务 业态:美容美体 品类:美甲美睫 指标:平均回本期 指标来源:品类均值 值,14.00
行业:服务 业态:美容美体 品类:美甲美睫 指标:月均坪效 指标来源:品类均值 值,900.00
行业:服务 业态:美容美体 品类:美甲美睫 指标:技师流失率 指标来源:品类均值 值,\N
行业:服务 业态:美容美体 品类:美甲美睫 指标:日均客流量 指标来源:品类均值 值,10.00
行业:服务 业态:共享租赁 品类:自助仓储 指标:自有配送员数量 指标来源:领先企业均值 值,\N
行业:服务 业态:共享租赁 品类:自助仓储 指标:运输车辆（辆） 指标来源:领先企业均值 值,\N
